top-level_category,second-level_category,date,residual
Audio,Home Audio & Speakers,2024-04-01,-32655.85345413038
Audio,Home Audio & Speakers,2024-05-01,-13382.037010155502
Audio,Home Audio & Speakers,2024-06-01,67651.73482605159
Audio,Home Audio & Speakers,2024-07-01,-7803.222363761248
Audio,Home Audio & Speakers,2024-08-01,-12644.75189773948
Audio,Home Audio & Speakers,2024-09-01,87127.12617227636
Audio,Home Audio & Speakers,2024-10-01,-84387.07846991793
Audio,Home Audio & Speakers,2024-11-01,-21157.3881560718
Audio,Home Audio & Speakers,2024-12-01,161977.3321285466
Audio,Home Audio & Speakers,2025-01-01,-9576.777341341076
Audio,Home Audio & Speakers,2025-02-01,-101597.07919742318
Audio,Home Audio & Speakers,2025-03-01,-40792.608215325745
Audio,Home Audio & Speakers,2025-04-01,-41295.321582118486
Audio,Home Audio & Speakers,2025-05-01,-69998.65251578242
Audio,Home Audio & Speakers,2025-06-01,7571.326886736002
Audio,Home Audio & Speakers,2025-07-01,18044.50079732212
Audio,Home Audio & Speakers,2025-08-01,104087.68971468284
Audio,Home Audio & Speakers,2025-09-01,29907.03998338731
Audio,Home Audio & Speakers,2025-10-01,345727.705697792
Audio,Home Audio & Speakers,2025-11-01,-32600.78243745357
Audio,Media Players,2022-03-01,0.0
Audio,Media Players,2022-04-01,0.0
Audio,Media Players,2022-05-01,1902.0
Audio,Media Players,2022-06-01,1952.620948468363
Audio,Media Players,2022-07-01,-60.51091146608633
Audio,Media Players,2022-08-01,1080.6290488642724
Audio,Media Players,2022-09-01,1805.71685602782
Audio,Media Players,2022-10-01,3531.6783427433584
Audio,Media Players,2022-11-01,-249.81749993042104
Audio,Media Players,2022-12-01,-1937.446834434449
Audio,Media Players,2023-01-01,-82.18323213044869
Audio,Media Players,2023-02-01,1716.2432682995252
Audio,Media Players,2023-03-01,1044.7296699105414
Audio,Media Players,2023-04-01,773.5848084793959
Audio,Media Players,2023-05-01,-1903.4791336146352
Audio,Media Players,2023-06-01,-2563.1198987696816
Audio,Media Players,2023-07-01,830.6617136232803
Audio,Media Players,2023-08-01,-1353.7254516772782
Audio,Media Players,2023-09-01,998.3478402819642
Audio,Media Players,2023-10-01,240.20290335160095
Audio,Media Players,2023-11-01,-134.66578130809012
Audio,Media Players,2023-12-01,-1894.150324716532
Audio,Media Players,2024-01-01,-2279.9280843337874
Audio,Media Players,2024-02-01,-1875.5487366839868
Audio,Media Players,2024-03-01,-1494.1641641776948
Audio,Media Players,2024-04-01,834.6241669065673
Audio,Media Players,2024-05-01,52.43228934440913
Audio,Media Players,2024-06-01,-2930.244240268076
Audio,Media Players,2024-07-01,72.07175392376757
Audio,Media Players,2024-08-01,-2347.5075320443184
Audio,Media Players,2024-09-01,15401.067669120355
Audio,Media Players,2024-10-01,902.2939125322482
Audio,Media Players,2024-11-01,1835.7640704313708
Audio,Media Players,2024-12-01,-350.6304996667095
Audio,Media Players,2025-01-01,-2572.597534151678
