second-level_category,date,residual
Alcoholic Beverages,2025-10-01,71017.69782164553
Alcoholic Beverages,2025-11-01,11406.23156115503
Amplifiers & Mixers,2022-03-01,0.0
Amplifiers & Mixers,2022-04-01,0.0
Amplifiers & Mixers,2022-05-01,0.0
Amplifiers & Mixers,2022-06-01,0.0
Amplifiers & Mixers,2022-07-01,0.0
Amplifiers & Mixers,2022-08-01,0.0
Amplifiers & Mixers,2022-09-01,3380.0
Amplifiers & Mixers,2022-10-01,-5529.845622371533
Amplifiers & Mixers,2022-11-01,7370.272560596614
Amplifiers & Mixers,2022-12-01,-8206.172291521369
Amplifiers & Mixers,2023-01-01,10131.503280185612
Amplifiers & Mixers,2023-02-01,-11717.095656355432
Amplifiers & Mixers,2023-03-01,24926.554476344776
Amplifiers & Mixers,2023-04-01,-35925.120917423395
Amplifiers & Mixers,2023-05-01,31336.79892569528
Amplifiers & Mixers,2023-06-01,-30124.86848887669
Amplifiers & Mixers,2023-07-01,29040.166825784072
Amplifiers & Mixers,2023-08-01,-29628.975706599744
Amplifiers & Mixers,2023-09-01,28305.10981553386
Amplifiers & Mixers,2023-10-01,-25638.88605248646
Amplifiers & Mixers,2023-11-01,21931.823245639738
Amplifiers & Mixers,2023-12-01,-19583.80741948808
Amplifiers & Mixers,2024-01-01,16113.251745947842
Amplifiers & Mixers,2024-02-01,-15566.443494609237
Amplifiers & Mixers,2024-03-01,2061.0935666837413
Amplifiers & Mixers,2024-04-01,9636.944771421415
Amplifiers & Mixers,2024-05-01,-5218.668526180794
Amplifiers & Mixers,2024-06-01,4283.717840332038
Amplifiers & Mixers,2024-07-01,-3393.343140775908
Amplifiers & Mixers,2024-08-01,4230.691535459742
Amplifiers & Mixers,2024-09-01,-6321.366494606587
Amplifiers & Mixers,2024-10-01,5544.800108634531
Amplifiers & Mixers,2024-11-01,-3286.5886321532234
Amplifiers & Mixers,2024-12-01,6528.250091655158
Amplifiers & Mixers,2025-01-01,-8449.585020269162
Amplifiers & Mixers,2025-02-01,10519.247647708877
Amplifiers & Mixers,2025-03-01,-8934.17032122498
Amplifiers & Mixers,2025-04-01,7058.108042431071
Amplifiers & Mixers,2025-05-01,-8949.578471323905
Amplifiers & Mixers,2025-06-01,8005.724016426826
Amplifiers & Mixers,2025-07-01,-5094.010555874714
Amplifiers & Mixers,2025-08-01,16824.996256129587
Amplifiers & Mixers,2025-09-01,56543.64150414164
Amplifiers & Mixers,2025-10-01,-33814.225151090475
Amplifiers & Mixers,2025-11-01,-56035.98885262775
Anklets,2022-03-01,2173.0
Anklets,2022-04-01,2545.7028462717667
Anklets,2022-05-01,1352.1761984671975
Anklets,2022-06-01,-156.29348386066067
Anklets,2022-07-01,3285.6682832851925
Anklets,2022-08-01,6593.832905258613
Anklets,2022-09-01,-6290.660223512532
Anklets,2022-10-01,-10195.419503529974
Anklets,2022-11-01,-938.4237051720768
Anklets,2022-12-01,-86.37595050639953
Anklets,2023-01-01,3853.04964155875
Anklets,2023-02-01,3731.4016908403955
Anklets,2023-03-01,1308.6930676432603
Anklets,2023-04-01,-2794.019434488804
Anklets,2023-05-01,-1171.7767768300382
Anklets,2023-06-01,-1502.0562464082714
Anklets,2023-07-01,-5068.275433386574
Anklets,2023-08-01,-7909.003931597546
Anklets,2023-09-01,2390.6074239253767
Anklets,2023-10-01,8362.221519996143
Anklets,2023-11-01,933.6931848930084
Anklets,2023-12-01,105.68648094665343
Anklets,2024-01-01,-3237.782316330175
Anklets,2024-02-01,-3204.315119881764
Anklets,2024-03-01,-3583.4370991996348
Anklets,2024-04-01,-1702.2265923723642
Anklets,2024-05-01,-827.1764745590971
Anklets,2024-06-01,6906.088175894747
Anklets,2024-07-01,276.52537850427143
Anklets,2024-08-01,-6912.390235287718
Anklets,2024-09-01,4622.730420150043
Anklets,2024-10-01,5224.135210656107
Anklets,2024-11-01,638.4284076960806
Anklets,2024-12-01,2288.258333322433
Anklets,2025-01-01,-1829.084541811645
Anklets,2025-02-01,-4060.225430376657
Anklets,2025-03-01,1871.824329298731
Anklets,2025-04-01,2093.4374260184577
Anklets,2025-05-01,1152.3632127279564
Anklets,2025-06-01,-2255.4752218134395
Anklets,2025-07-01,4088.2863771859643
Anklets,2025-08-01,9775.124577121032
Anklets,2025-09-01,-2230.201712892752
Anklets,2025-10-01,22976.335898989593
Anklets,2025-11-01,430.64189399157476
Art Supplies,2022-03-01,82249.0
Art Supplies,2022-04-01,-45810.33040880965
Art Supplies,2022-05-01,-22196.503159845626
Art Supplies,2022-06-01,24697.578264173964
Art Supplies,2022-07-01,-16191.526337712552
Art Supplies,2022-08-01,64539.02532364354
Art Supplies,2022-09-01,-77115.90262885886
Art Supplies,2022-10-01,-19198.74496424703
Art Supplies,2022-11-01,-56742.50049910843
Art Supplies,2022-12-01,209243.42657181228
Art Supplies,2023-01-01,-135176.18589317217
Art Supplies,2023-02-01,-26178.471333131572
Art Supplies,2023-03-01,139317.05510837547
Art Supplies,2023-04-01,-139500.1845346194
Art Supplies,2023-05-01,67297.6102230093
Art Supplies,2023-06-01,-25022.7429130823
Art Supplies,2023-07-01,61416.03101857501
Art Supplies,2023-08-01,33121.33914608811
Art Supplies,2023-09-01,-43013.26507145644
Art Supplies,2023-10-01,-30367.23066564309
Art Supplies,2023-11-01,145964.98118845047
Art Supplies,2023-12-01,-14840.135515500326
Art Supplies,2024-01-01,-246807.17897657794
Art Supplies,2024-02-01,147971.84959109797
Art Supplies,2024-03-01,-263136.4372908381
Art Supplies,2024-04-01,223007.18941953316
Art Supplies,2024-05-01,224912.018536087
Art Supplies,2024-06-01,96561.85496826086
Art Supplies,2024-07-01,-382742.1084227859
Art Supplies,2024-08-01,-387408.59982964944
