category,forecast_date,predicted_sold_per_month
Baby & Kids Accessories,2026-07-01,2499128.77
Baby & Kids Accessories,2026-08-01,1835351.33
Baby & Kids Accessories,2026-09-01,9775319.18
Baby & Kids Accessories,2026-10-01,547195.4
Baby & Kids Accessories,2026-11-01,1982741.94
Baby Clothes,2025-12-01,102485.39
Baby Clothes,2026-01-01,45253.34
Baby Clothes,2026-02-01,8718.29
Baby Clothes,2026-03-01,54167.0
Baby Clothes,2026-04-01,99439.45
Baby Clothes,2026-05-01,169597.4
Baby Clothes,2026-06-01,279797.07
Baby Clothes,2026-07-01,100642.75
Baby Clothes,2026-08-01,79515.56
Baby Clothes,2026-09-01,85840.43
Baby Clothes,2026-10-01,40914.96
Baby Clothes,2026-11-01,55309.07
Baby Healthcare,2025-12-01,241115.65
Baby Healthcare,2026-01-01,248424.19
Baby Healthcare,2026-02-01,249163.27
Baby Healthcare,2026-03-01,310434.98
Baby Healthcare,2026-04-01,298553.59
Baby Healthcare,2026-05-01,294506.65
Baby Healthcare,2026-06-01,345048.32
Baby Healthcare,2026-07-01,313558.72
Baby Healthcare,2026-08-01,315599.44
Baby Healthcare,2026-09-01,323734.88
Baby Healthcare,2026-10-01,304548.67
Baby Healthcare,2026-11-01,311826.16
Baby Mittens & Footwear,2025-12-01,38813.72
Baby Mittens & Footwear,2026-01-01,35512.55
Baby Mittens & Footwear,2026-02-01,23899.64
Baby Mittens & Footwear,2026-03-01,21810.78
Baby Mittens & Footwear,2026-04-01,8882.1
Baby Mittens & Footwear,2026-05-01,122589.79
Baby Mittens & Footwear,2026-06-01,87221.41
Baby Mittens & Footwear,2026-07-01,15300.15
Baby Mittens & Footwear,2026-08-01,27731.39
Baby Mittens & Footwear,2026-09-01,402295.94
Baby Mittens & Footwear,2026-10-01,0.0
Baby Mittens & Footwear,2026-11-01,119193.94
Baby Safety,2025-12-01,457538.94
Baby Safety,2026-01-01,851745.23
Baby Safety,2026-02-01,657523.52
Baby Safety,2026-03-01,758844.6
Baby Safety,2026-04-01,701374.73
Baby Safety,2026-05-01,878844.61
Baby Safety,2026-06-01,987794.34
Baby Safety,2026-07-01,1088669.71
Baby Safety,2026-08-01,3586193.48
Baby Safety,2026-09-01,10233545.49
Baby Safety,2026-10-01,3240507.26
Baby Safety,2026-11-01,2383390.13
Baby Travel Essentials,2025-12-01,31352.13
Baby Travel Essentials,2026-01-01,46517.44
Baby Travel Essentials,2026-02-01,48442.62
Baby Travel Essentials,2026-03-01,53394.84
Baby Travel Essentials,2026-04-01,48284.68
Baby Travel Essentials,2026-05-01,50067.22
