top-level_category,second-level_category,forecast_date,forecast_sold_per_month
Cameras & Drones,Camera Accessories,2026-08-01,245953.39
Cameras & Drones,Camera Accessories,2026-09-01,224221.74
Cameras & Drones,Camera Accessories,2026-10-01,221179.14
Cameras & Drones,Camera Accessories,2026-11-01,246994.73
Cameras & Drones,Camera Care,2025-12-01,26561.87
Cameras & Drones,Camera Care,2026-01-01,31629.04
Cameras & Drones,Camera Care,2026-02-01,33007.42
Cameras & Drones,Camera Care,2026-03-01,24538.36
Cameras & Drones,Camera Care,2026-04-01,26592.21
Cameras & Drones,Camera Care,2026-05-01,86362.61
Cameras & Drones,Camera Care,2026-06-01,46040.17
Cameras & Drones,Camera Care,2026-07-01,23680.52
Cameras & Drones,Camera Care,2026-08-01,9648.01
Cameras & Drones,Camera Care,2026-09-01,22926.03
Cameras & Drones,Camera Care,2026-10-01,23828.03
Cameras & Drones,Camera Care,2026-11-01,32250.6
Cameras & Drones,Cameras,2025-12-01,0.0
Cameras & Drones,Cameras,2026-01-01,12717.36
Cameras & Drones,Cameras,2026-02-01,1274.39
Cameras & Drones,Cameras,2026-03-01,1888.8
Cameras & Drones,Cameras,2026-04-01,0.0
Cameras & Drones,Cameras,2026-05-01,0.0
Cameras & Drones,Cameras,2026-06-01,539.04
Cameras & Drones,Cameras,2026-07-01,416.5
Cameras & Drones,Cameras,2026-08-01,3944.03
Cameras & Drones,Cameras,2026-09-01,0.0
Cameras & Drones,Cameras,2026-10-01,0.0
Cameras & Drones,Cameras,2026-11-01,0.0
Cameras & Drones,Drone Accessories,2025-12-01,1160.16
Cameras & Drones,Drone Accessories,2026-01-01,1025.55
Cameras & Drones,Drone Accessories,2026-02-01,1038.71
Cameras & Drones,Drone Accessories,2026-03-01,1042.72
Cameras & Drones,Drone Accessories,2026-04-01,5951.51
Cameras & Drones,Drone Accessories,2026-05-01,947.02
Cameras & Drones,Drone Accessories,2026-06-01,961.97
Cameras & Drones,Drone Accessories,2026-07-01,990.28
Cameras & Drones,Drone Accessories,2026-08-01,1014.73
Cameras & Drones,Drone Accessories,2026-09-01,5195.42
Cameras & Drones,Drone Accessories,2026-10-01,961.39
Cameras & Drones,Drone Accessories,2026-11-01,985.44
Cameras & Drones,Drones,2025-12-01,0.0
Cameras & Drones,Drones,2026-01-01,0.0
Cameras & Drones,Drones,2026-02-01,0.0
Cameras & Drones,Drones,2026-03-01,0.0
Cameras & Drones,Drones,2026-04-01,23300.92
Cameras & Drones,Drones,2026-05-01,13797.88
Cameras & Drones,Drones,2026-06-01,1274.5
Cameras & Drones,Drones,2026-07-01,3041.49
Cameras & Drones,Drones,2026-08-01,12771.86
Cameras & Drones,Drones,2026-09-01,10281.97
Cameras & Drones,Drones,2026-10-01,16364.36
Cameras & Drones,Drones,2026-11-01,592.96
Cameras & Drones,Lens Accessories,2025-12-01,0.0
Cameras & Drones,Lens Accessories,2026-01-01,0.0
Cameras & Drones,Lens Accessories,2026-02-01,1994.62
Cameras & Drones,Lens Accessories,2026-03-01,0.0
Cameras & Drones,Lens Accessories,2026-04-01,0.0
Cameras & Drones,Lens Accessories,2026-05-01,0.0
Cameras & Drones,Lens Accessories,2026-06-01,0.0
Cameras & Drones,Lens Accessories,2026-07-01,0.0
Cameras & Drones,Lens Accessories,2026-08-01,0.0
Cameras & Drones,Lens Accessories,2026-09-01,0.0
